"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1402558";"";"None";"373.39";"0";"2.38";"SID24836436";"CNS(=O)(=O)c1cccc(C(=O)OCC(=O)c2cc3ccccc3o2)c1";"IC50";"'='";"15477.0";"nM";"4.81";"";"Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614336";"PUBCHEM_BIOASSAY: Dose Response screen for antagonists of Angiotensin II Receptor Type 1 to assess selectivity of uHTS small molecule antagonists hits of the APJ receptor. (Class of assay: confirmatory) [Related pubchem assays: 2569, 2521 ]";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"15.477"
"CHEMBL1463168";"";"None";"364.19";"0";"3.16";"SID14726207";"O=C(Cn1nnc2ccccc21)OCC(=O)c1ccc(Cl)c(Cl)c1";"IC50";"'='";"13322.0";"nM";"4.88";"";"Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614336";"PUBCHEM_BIOASSAY: Dose Response screen for antagonists of Angiotensin II Receptor Type 1 to assess selectivity of uHTS small molecule antagonists hits of the APJ receptor. (Class of assay: confirmatory) [Related pubchem assays: 2569, 2521 ]";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"13.322"
"CHEMBL1520753";"";"None";"264.26";"0";"1.82";"SID49666263";"O=[N+]([O-])c1ccc(S(=O)(=O)c2ccccc2)nc1";"IC50";"'='";"13121.0";"nM";"4.88";"";"Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614336";"PUBCHEM_BIOASSAY: Dose Response screen for antagonists of Angiotensin II Receptor Type 1 to assess selectivity of uHTS small molecule antagonists hits of the APJ receptor. (Class of assay: confirmatory) [Related pubchem assays: 2569, 2521 ]";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"13.121"
"CHEMBL1520643";"";"None";"386.36";"0";"1.35";"SID17507385";"O=C(CN1C(=O)C2C3CCC(C3)C2C1=O)OCC(=O)c1cccc([N+](=O)[O-])c1";"IC50";"'='";"26310.0";"nM";"4.58";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614336";"PUBCHEM_BIOASSAY: Dose Response screen for antagonists of Angiotensin II Receptor Type 1 to assess selectivity of uHTS small molecule antagonists hits of the APJ receptor. (Class of assay: confirmatory) [Related pubchem assays: 2569, 2521 ]";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"26.31"
"CHEMBL1598569";"";"None";"281.74";"0";"4.76";"SID49649576";"Oc1cccc2ccc(/C=C/c3ccccc3Cl)nc12";"IC50";"'='";"32271.0";"nM";"4.49";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614336";"PUBCHEM_BIOASSAY: Dose Response screen for antagonists of Angiotensin II Receptor Type 1 to assess selectivity of uHTS small molecule antagonists hits of the APJ receptor. (Class of assay: confirmatory) [Related pubchem assays: 2569, 2521 ]";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"32.271"
"CHEMBL1345981";"";"None";"513.09";"1";"5.14";"SID17514874";"CC(C)N1CCc2c(sc(NC(=O)c3cc(-c4cccs4)nc4ccccc34)c2C(N)=O)C1.Cl";"IC50";"'>'";"40000.0";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614336";"PUBCHEM_BIOASSAY: Dose Response screen for antagonists of Angiotensin II Receptor Type 1 to assess selectivity of uHTS small molecule antagonists hits of the APJ receptor. (Class of assay: confirmatory) [Related pubchem assays: 2569, 2521 ]";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"40.0"
"CHEMBL1543154";"";"None";"454.53";"0";"1.03";"SID865656";"COc1cccc(N2CC(C)Cn3c2nc2c3c(=O)n(CCN3CCOCC3)c(=O)n2C)c1";"IC50";"'>'";"40000.0";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614336";"PUBCHEM_BIOASSAY: Dose Response screen for antagonists of Angiotensin II Receptor Type 1 to assess selectivity of uHTS small molecule antagonists hits of the APJ receptor. (Class of assay: confirmatory) [Related pubchem assays: 2569, 2521 ]";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"40.0"
"CHEMBL1331585";"";"None";"398.37";"0";"1.52";"SID49733619";"CC(C(=O)OCC(=O)c1cccc([N+](=O)[O-])c1)N1C(=O)C2C3C=CC(C3)C2C1=O";"IC50";"'>'";"40000.0";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614336";"PUBCHEM_BIOASSAY: Dose Response screen for antagonists of Angiotensin II Receptor Type 1 to assess selectivity of uHTS small molecule antagonists hits of the APJ receptor. (Class of assay: confirmatory) [Related pubchem assays: 2569, 2521 ]";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"40.0"
"CHEMBL1416155";"";"None";"398.80";"0";"4.45";"SID17411829";"Cc1ccc2nc(C)cc(C(=O)OCC(=O)c3ccc(Cl)c([N+](=O)[O-])c3)c2c1";"IC50";"'='";"13200.0";"nM";"4.88";"";"Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614336";"PUBCHEM_BIOASSAY: Dose Response screen for antagonists of Angiotensin II Receptor Type 1 to assess selectivity of uHTS small molecule antagonists hits of the APJ receptor. (Class of assay: confirmatory) [Related pubchem assays: 2569, 2521 ]";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"13.2"
"CHEMBL1504429";"";"None";"445.48";"1";"4.26";"SID17401925";"CC(=O)OCCCNc1cc(Sc2nc3ccccc3s2)c2nonc2c1[N+](=O)[O-]";"IC50";"'='";"2057.0";"nM";"5.69";"";"Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614336";"PUBCHEM_BIOASSAY: Dose Response screen for antagonists of Angiotensin II Receptor Type 1 to assess selectivity of uHTS small molecule antagonists hits of the APJ receptor. (Class of assay: confirmatory) [Related pubchem assays: 2569, 2521 ]";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"2.057"
"CHEMBL1346661";"";"None";"274.75";"0";"3.66";"SID26728682";"CCc1ccc(C(=O)NNc2ccc(Cl)cc2)cc1";"IC50";"'='";"6083.0";"nM";"5.22";"";"Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1614336";"PUBCHEM_BIOASSAY: Dose Response screen for antagonists of Angiotensin II Receptor Type 1 to assess selectivity of uHTS small molecule antagonists hits of the APJ receptor. (Class of assay: confirmatory) [Related pubchem assays: 2569, 2521 ]";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"6.083"
