"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL163454";"";"None";"405.52";"0";"4.01";"1R";"O=C(N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O)[C@H](S)Cc1ccccc1";"IC50";"'='";"688.0";"nM";"6.16";"";"";"UO_0000065";"15.20";"0.29";"2.15";"9.28";"0";"CHEMBL648287";"Inhibition of angiotensin converting enzyme (ACE)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1128869";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1995";"None";"";"";"";"688.0"
"CHEMBL577";"ENALAPRILAT ANHYDROUS";"4.0";"348.40";"0";"1.13";"enalaprilat";"C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O";"Duration";"'>'";"6.0";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL648351";"Time during which Angiotensin I converting enzyme inhibition is greater than or equal to 30% in Hog plasma";"F";"BAO_0000366";"cell-free format";"Sus scrofa";"CHEMBL3559721";"Plasma";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1124790";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"6.0"
"CHEMBL93662";"";"None";"436.51";"0";"2.70";"2c";"C[C@@H](CC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCC[C@H]1C(=O)O";"IC50";"'='";"46.0";"nM";"7.34";"";"";"UO_0000065";"16.81";"0.31";"4.64";"7.07";"0";"CHEMBL648344";"Inhibition of guinea pig serum Angiotensin I converting enzyme";"B";"BAO_0000224";"protein format";"Cavia porcellus";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1122140";"1";"Scientific Literature";"J Med Chem";"1982";"None";"";"";"";"4.6E-8"
"CHEMBL329474";"";"None";"402.52";"0";"2.34";"4h";"O=C(NC1CCc2cccc3c2N(C1=O)[C@H](C(=O)O)C3)[C@@H](S)C1CCCCC1";"IC50";"'<'";"100.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL644716";"Inhibition of Angiotensin I converting enzyme";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1128940";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";"";"100.0"
"CHEMBL163621";"";"None";"454.59";"0";"3.41";"6";"CC(C)[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)N1CCC[C@H]1C(=O)O";"IC50";"'='";"319.0";"nM";"6.50";"";"";"UO_0000065";"14.29";"0.28";"3.09";"7.49";"0";"CHEMBL648287";"Inhibition of angiotensin converting enzyme (ACE)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1128869";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1995";"None";"";"";"";"319.0"
"CHEMBL423635";"";"None";"476.60";"0";"3.48";"5S";"O=C(N[C@@H](Cc1ccc2ccccc2c1)C(=O)N1CCC[C@H]1C(=O)O)[C@@H](S)Cc1ccccc1";"IC50";"'='";"18.0";"nM";"7.75";"";"";"UO_0000065";"16.25";"0.31";"4.26";"8.93";"0";"CHEMBL648287";"Inhibition of angiotensin converting enzyme (ACE)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1128869";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1995";"None";"";"";"";"18.0"
"CHEMBL95564";"";"None";"436.51";"0";"2.70";"2a";"C[C@H](CC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCC[C@H]1C(=O)O";"IC50";"'='";"1.0";"nM";"9.00";"";"";"UO_0000065";"20.62";"0.38";"6.30";"8.67";"0";"CHEMBL648344";"Inhibition of guinea pig serum Angiotensin I converting enzyme";"B";"BAO_0000224";"protein format";"Cavia porcellus";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1122140";"1";"Scientific Literature";"J Med Chem";"1982";"None";"";"";"";"1E-9"
"CHEMBL24750";"";"None";"432.52";"0";"2.79";"3b";"CCCCOC(=O)NC(Cc1ccccc1)C(=O)CC(C)C(=O)N1CCCC1C(=O)O";"IC50";"'='";"29.0";"nM";"7.54";"";"";"UO_0000065";"17.43";"0.33";"4.75";"6.67";"0";"CHEMBL648344";"Inhibition of guinea pig serum Angiotensin I converting enzyme";"B";"BAO_0000224";"protein format";"Cavia porcellus";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1122140";"1";"Scientific Literature";"J Med Chem";"1982";"None";"";"";"";"2.9E-8"
"CHEMBL316595";"";"None";"422.51";"0";"1.93";"4l";"O=C(O)[C@@H]1Cc2cccc3c2N1C(=O)C(NC(=O)C1(S)Cc2ccccc2C1)CC3";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL644716";"Inhibition of Angiotensin I converting enzyme";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1128940";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";"";"1000.0"
"CHEMBL319836";"";"None";"376.48";"0";"1.80";"4g";"CC[C@@H](C)[C@H](S)C(=O)NC1CCc2cccc3c2N(C1=O)[C@H](C(=O)O)C3";"IC50";"'='";"41.0";"nM";"7.39";"";"";"UO_0000065";"19.62";"0.39";"5.59";"8.52";"0";"CHEMBL644716";"Inhibition of Angiotensin I converting enzyme";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1128940";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";"";"41.0"
"CHEMBL440556";"";"None";"619.80";"0";"1.69";"12 (DCHA salt)";"C1CCC(NC2CCCCC2)CC1.O=C(NC(Cc1ccccc1)C(=O)COCC(=O)N1CCC[C@@H]1C(=O)O)c1ccccc1";"IC50";"";"";"nM";"";"";"Not Tested";"UO_0000065";"";"";"";"";"0";"CHEMBL648348";"Concentration required for 50% inhibition of Angiotensin I converting enzyme";"B";"BAO_0000224";"protein format";"Cavia porcellus";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1122170";"1";"Scientific Literature";"J Med Chem";"1982";"None";"";"";"";""
"CHEMBL43859";"";"None";"596.06";"2";"0.34";"1b";"C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CC(NNC(=O)c2ccc(Cl)c(S(N)(=O)=O)c2)C[C@H]1C(=O)O";"Time to max. inhibition";"'='";"0.3";"hr";"";"";"";"UO_0000032";"";"";"";"";"0";"CHEMBL647713";"Time to inhibit maximum Angiotensin I converting enzyme in Hog plasma";"F";"BAO_0000366";"cell-free format";"Oryctolagus cuniculus";"CHEMBL3559721";"Plasma";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1124790";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"0.3"
"CHEMBL99861";"";"None";"374.46";"0";"1.70";"4k";"O=C(O)[C@@H]1Cc2cccc3c2N1C(=O)C(NC(=O)C1(S)CCCC1)CC3";"IC50";"'='";"253.0";"nM";"6.60";"";"";"UO_0000065";"17.62";"0.35";"4.90";"7.61";"0";"CHEMBL644716";"Inhibition of Angiotensin I converting enzyme";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1128940";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";"";"253.0"
"CHEMBL98876";"";"None";"362.45";"0";"1.41";"4f";"CC(C)[C@H](S)C(=O)NC1CCc2cccc3c2N(C1=O)[C@H](C(=O)O)C3";"IC50";"'='";"30.0";"nM";"7.52";"";"";"UO_0000065";"20.76";"0.41";"6.11";"8.68";"0";"CHEMBL644716";"Inhibition of Angiotensin I converting enzyme";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1128940";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";"";"30.0"
"CHEMBL336756";"";"None";"232.24";"0";"0.71";"CPA";"N#CCC(=O)N[C@@H](Cc1ccccc1)C(=O)O";"Km";"'='";"4190000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL857286";"Km for angiotensin I converting enzyme";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2096989";"Angiotensin-converting enzyme";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1125348";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"4.19"
